run_id,prompt_variant,prompt,steps,train_time,device,vertices,faces,texture_resolution,checkpoint,mesh,texture,preview,video,geometry_score,texture_score,fusion_readiness_score,janus_artifacts,artifact_notes,selection
object_b_sds_simple,simple,"A clean ceramic mug",10000,49:41,cuda:1,33999,67786,1024x1024,runs/scene/text3d_simple/main/ckpts/last.ckpt,runs/scene/text3d_simple/main/save/it10000-export/model.obj,runs/scene/text3d_simple/main/save/it10000-export/texture_kd.jpg,runs/scene/text3d_simple/main/save/it10000-0.png,runs/scene/text3d_simple/main/save/it10000-test.mp4,3,3,3,medium,"recognizable mug and richer color, but noisy/fuzzy surface, ghosting above object, handle/body less stable",candidate_not_selected
object_b_sds_detailed,detailed,"A single matte ceramic mug with a simple handle, stable proportions, clean topology, neutral studio lighting",10000,50:03,cuda:2,3560,7060,1024x1024,runs/scene/text3d_detailed/main/ckpts/last.ckpt,runs/scene/text3d_detailed/main/save/it10000-export/model.obj,runs/scene/text3d_detailed/main/save/it10000-export/texture_kd.jpg,runs/scene/text3d_detailed/main/save/it10000-0.png,runs/scene/text3d_detailed/main/save/it10000-test.mp4,2,2,2,high,"recognizable mug but blurrier geometry; default export failed and required auto isosurface threshold; visible haze/background artifacts",candidate_not_selected
object_b_sds_style_constrained,style_constrained,"A single realistic ceramic mug, no extra objects, no text, no face, neutral color, physically plausible shape",10000,47:39,cuda:1,39314,78628,1024x1024,runs/scene/text3d_style_constrained/main/ckpts/last.ckpt,runs/scene/text3d_style_constrained/main/save/it10000-export/model.obj,runs/scene/text3d_style_constrained/main/save/it10000-export/texture_kd.jpg,runs/scene/text3d_style_constrained/main/save/it10000-0.png,runs/scene/text3d_style_constrained/main/save/it10000-test.mp4,4,3,4,low,"cleanest silhouette and stable handle/body; neutral low-detail texture, minor surface roughness",selected_for_fusion
